predateur,proie,mange,selectivity,nom,origine,stade_pred,stade_proie,titre,num_vol,numero_article,DOI,annee,nom,journal
Abramis brama,Cladocera,-1,3,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Cladocera,-1,3,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Ostracoda,-1,3,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Copepoda,-1,3,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Mollusca,-1,1,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Chironomidae,-1,3,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Ostracoda,-1,-1,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Cladocera,-1,3,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Copepoda,-1,3,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Chironomidae,-1,3,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Mollusca,-1,3,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Cladocera,-1,3,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Cladocera,-1,3,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Copepoda,-1,3,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Chironomidae,-1,3,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Ostracoda,-1,1,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Chironomidae,-1,3,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
